sentence,tokens,tags,Indicator
Microsoft deployed the security patch 4j5k6l7m8n9opqr_stuvwxy-1234567890abcdef at 172.16.254.1 during the meeting in San Francisco yesterday.,"['Microsoft', 'deployed', 'the', 'security', 'patch', '4j5k6l7m8n9opqr_stuvwxy-1234567890abcdef', 'at', '172.16.254.1', 'during', 'the', 'meeting', 'in', 'San', 'Francisco', 'yesterday', '.']","['B-org', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'B-IP', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'B-tim', 'O']",True
"At 09:15, Dr. Helena Schmidt sent the encrypted message 9q8w7e6r5t4y3u2i1o0p_lkjhgfdsa-zxvbnm from IP 10.0.0.254 in Berlin.","['At', '09:15', ',', 'Dr.', 'Helena', 'Schmidt', 'sent', 'the', 'encrypted', 'message', '9q8w7e6r5t4y3u2i1o0p_lkjhgfdsa-zxvbnm', 'from', 'IP', '10.0.0.254', 'in', 'Berlin', '.']","['O', 'B-tim', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'B-gpe', 'O']",True
The conference in New Delhi started at 2023-11-25T08:00 with session code zx12-34_abcd567890efghijklmno at 192.0.2.146.,"['The', 'conference', 'in', 'New', 'Delhi', 'started', 'at', '2023-11-25T08:00', 'with', 'session', 'code', 'zx12-34_abcd567890efghijklmno', 'at', '192.0.2.146', '.']","['O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'B-Token', 'O', 'B-IP', 'O']",True
Jessica and Michael sent the file qw987asdfghjklzxcvbnm_12345-67890 to 2001:db8::ff00:42:8329 before noon.,"['Jessica', 'and', 'Michael', 'sent', 'the', 'file', 'qw987asdfghjklzxcvbnm_12345-67890', 'to', '2001:db8::ff00:42:8329', 'before', 'noon', '.']","['B-per', 'O', 'B-per', 'O', 'O', 'O', 'B-Token', 'O', 'B-IP', 'O', 'B-tim', 'O']",True
Google updated their logs with token r4nd0m_5tr1ng-abcdef1234567890 at 8.8.4.4 during the event in Toronto last week.,"['Google', 'updated', 'their', 'logs', 'with', 'token', 'r4nd0m_5tr1ng-abcdef1234567890', 'at', '8.8.4.4', 'during', 'the', 'event', 'in', 'Toronto', 'last', 'week', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'B-IP', 'O', 'O', 'O', 'O', 'B-geo', 'B-tim', 'I-tim', 'O']",True
"On Monday, the access code 1234567890abcdef-ghijklmnopqrstuvwx was registered from IP 255.255.255.0 in Los Angeles.","['On', 'Monday', ',', 'the', 'access', 'code', '1234567890abcdef-ghijklmnopqrstuvwx', 'was', 'registered', 'from', 'IP', '255.255.255.0', 'in', 'Los', 'Angeles', '.']","['O', 'B-tim', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O']",True
The user named John O'Connor generated key asdfghjklqwertyuiopzxcvbnm_0987654321 at 172.31.255.255 in Dublin this morning.,"['The', 'user', 'named', 'John', ""O'Connor"", 'generated', 'key', 'asdfghjklqwertyuiopzxcvbnm_0987654321', 'at', '172.31.255.255', 'in', 'Dublin', 'this', 'morning', '.']","['O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'B-Token', 'O', 'B-IP', 'O', 'B-geo', 'O', 'B-tim', 'O']",True
Amazon reported abnormal activity with token zxcvbnmlkjhgfdsa0987654321qwertyuiop-123 at 203.0.113.195 near Seattle yesterday afternoon.,"['Amazon', 'reported', 'abnormal', 'activity', 'with', 'token', 'zxcvbnmlkjhgfdsa0987654321qwertyuiop-123', 'at', '203.0.113.195', 'near', 'Seattle', 'yesterday', 'afternoon', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'I-tim', 'O']",True
Prof. Alan Turing uploaded the file qwerty-12345_asdfghjkl_zxcvbnm9876543210 at 2001:0db8:85a3::8a2e:0370:7334 during the afternoon in Cambridge.,"['Prof.', 'Alan', 'Turing', 'uploaded', 'the', 'file', 'qwerty-12345_asdfghjkl_zxcvbnm9876543210', 'at', '2001:0db8:85a3::8a2e:0370:7334', 'during', 'the', 'afternoon', 'in', 'Cambridge', '.']","['O', 'B-per', 'I-per', 'O', 'O', 'O', 'B-Token', 'O', 'B-IP', 'O', 'O', 'B-tim', 'O', 'B-geo', 'O']",True
The update code 5f6e7d8c9b0a1fghijklmno_pqrstuvwx-yz1234567890 was sent from 198.51.100.24 to the headquarters in Washington D.C. last Friday.,"['The', 'update', 'code', '5f6e7d8c9b0a1fghijklmno_pqrstuvwx-yz1234567890', 'was', 'sent', 'from', '198.51.100.24', 'to', 'the', 'headquarters', 'in', 'Washington', 'D.C.', 'last', 'Friday', '.']","['O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'B-tim', 'I-tim', 'O']",True
